Campus,Título, Nome Coordenador, 
Januária,Sistema de Sensoriamento Remoto de Baixo Custo para Classificar Teor de Clorofila Foliar e Produtividade do Feijão,Selma Alves Abrahão,
Januária,Correlação entre a Lucratividade Contábil e o Preço das Ações,Felipe Lisboa Guedes,
Januária,Proposta de Inovação Utilizando Cashback como Programa de Fidelização de Clientes de um Supermercado ,Shirley Mirone Martins Guimarães,
Januária,Estratégias Inovadoras para Finalizar Clientes: Estudo de Caso Numa Loja de Confecção Infantil de Januária – MG,Shirley Mirone Martins Guimarães,
Januária,Importância da Inovação no Processo Competitivo de Micro e Pequenas Empresas,Shirley Mirone Martins Guimarães,
Januária,"Assessoria em Marketing Digital, Como Meio Inovador Para Alavancar Vendas nas Redes Sociais de Micro e Pequenos Empreendimentos",Shirley Mirone Martins Guimarães,
Januária,Como um Sistema de Controle pode Inovar a Prestação de Serviços numa Cidade do Interior de Minas Gerais ,Selma Alves Abrahão,
Januária,Análise da Utilização dos Sistemas de Informações Gerencial nas Empresas de Januária,Francisco Farlei de Carvalho Lisboa ,
Januária,Processo Sucessório em Empresa Familiar: Mapeamento dos Estudos mais Relevantes sobre o Tema,Edson Oliveira Neves,
Januária,Educação Alimentar nas Escolas da Rede Estadual de Ensino da Cidade de Pedras de Maria da Cruz-MG ,Luiz Carlos Ferreira ,
Januária,Caracterização Biológica de Bactérias Endofíticas e seu Potencial de Controle de Sclerotinia sclerotiorum em Soja ,Tatiana Tozzi Martins Souza Rodrigues ,
Januária,Biossolubilização de Fósforo e Potássio por Bactérias Endofíticas Isoladas de Sementes Stylosanthers SPP ,Tatiana Tozzi Martins Souza Rodrigues ,
Januária,Avaliação de Propriedades Físicas de Grãos de Milho da Variedade Crioulo Cultivados na Região do Norte de Minas Gerais,Wagner da Cunha Siqueira,
Januária,"Determinação da Massa Específica, Porosidade e Peso Hectolitro de Grãos de Milho em Diferentes Teores de Umidade",Wagner da Cunha Siqueira,
Januária,Diferentes Métodos de Superação de Dormência de Sementes de Umbuzeiro ,Rodrigo Amato Moreira,
Januária,Qualidade da Água Armazenada em Cisternas de Placas de uma Comunidade Rural do Município de Bonito de Minas – MG,Luiz Carlos Ferreira ,
Januária,Qualidade na Prestação de Serviços: Aplicação do Modelo Servqual na Rede de Hotéis em Januária – MG,Érica Souza Tupiná,
Januária,Proposta de um Sistema para Micro-Pequenas Oficinas Mecânicas,Danilo Magalhães Nunes,
Januária,Desenvolvimento de um Sistema para Monitoramento Automático de Trânsito em Cidades e Rodovias ,Matheus Silveira Borges,
Januária,Levantamento e Análise dos Relatórios de Sondagem por SPT Executados na Área Central do Município de Januária-MG,Rodrigo Marques do Nascimento,
Januária,Análise do Uso das Tecnologias Digitais da Informação Comunicação e Metodologias Ativas pelos Docentes das Escolas Públicas Estaduais de Januária,Gustavo Linhares Lélis Frota,
Januária,Medida do índice de Refração em Diferentes Tipos de Materiais ,Caio Bruno wetterich,
Januária,Produção de Módulo Didático para o Ensino de Operações com Números Reais ,Daniel Martins Nunes,
Januária,Produção de Módulo Didático para o Ensino de Operações com Números Reais ,Adenise Vieira de Souza,
Januária,"Perfil das Internações Hospitalares por Condições Sensíveis a Atenção Primária na Rede de Atenção Hospitalar de Januária, MG",Thatiane Lopes Oliveira,
Januária,Perfil de Saúde e Qualidade de Vida dos Trabalhadores do IFNMG – Campus Januária,Karla Jaciara Vieira Damasceno Abreu,
Januária,Análise e Monitoramento da Qualidade da Água do Riacho da Cruz para Consumo Doméstico,Antônio Fábio Silva Santos,
Januária,"Manejo da Cultura do Feijão Caupi, no Semiárido do Norte de Minas Gerais",Claubert Wagner Guimarães de Menezes,
Januária,Controlador de Irrigação Via Pluviomêtro,Antônio Fábio Silva Santos,
Januária,Aplicação Baseado em Sistema de Recomendação para Auxiliar País no Cuidado com seus Filhos,Juliana Teixeira Antunes,
Januária,Curaí Januária: Um Aplicativo Móvel Interativo para Divulgação de Eventos ,Hélder Seixas Lima,
Januária,Evolução de um Jogo Educacional Digital sobre o Parque Nacional Cavernas do Peruaçu ,Joselice Ferreira Lima,
Januária,Sistema de Gestão para o Cartório de Registro Civil e Notas do Distrito de Riacho da Cruz,Paulo Vitor do Carmo Batista,
Januária,Astronomia e Saberes Tradicionais no Ensino Médio em Escolas Xakriabá: Os Sábios e a Construção do Conhecimento na Interculturalidade,Caio Bruno Wetterich ,
Januária,Estudo Sistemático sobre a Estrutura Energéticas dos Níveis de Energia Stark em Sistemas contendo íons de európio trivalentes,Caio Bruno wetterich,
Januária,Estudo da Condição Produtiva dos Remanescentes Quilombolas da Comunidade de Alegre - Januária ,Edson Oliveira Neves,
Januária,Danos nas Propriedades Físicas de Grãos de Milho Causado pelo Sitophilus zeamais,Wagner da Cunha Siqueira,
Januária,Desenvolvimento e Aceitabilidade de Iogurte Grego Salgado Condimentado,Geralda Magela Costa Nobre,
Januária,Avaliação de Mandioca Biofortificada no Norte de Minas Gerais,Ednaldo Liberato de Oliveira,
Januária,Produção de Mudas de Mandioca Mesa com Substrato Alternativo,Ednaldo Liberato de Oliveira,
Januária,Construção e Caracterização de um Aspersor Caseiro de Baixo Custo,Ednaldo Liberato de Oliveira,
Januária,Aproveitamento de Pseudocaule de Bananeira para a Elaboração de Palmito,Geralda Magela Costa Nobre,
Januária,Determinação das Propriedades Físicas do feijão Caupi “ Vigna unguiculata” em Diferentes Teores de Umidade. ,Wagner da Cunha Siqueira,
Januária,Análise de Tamanho e Forma em Sementes de Girassol ,Wagner da Cunha Siqueira,
Januária,Posse Responsável de Animais Doméstico e Perfil Epidemiológico da Leishmaniose no Município de Januária-MG,Luiz Carlos Ferreira ,
Januária,Conhecimento Geométrico Espacial Utilizado por Pedreiros da Cidade de Januária-MG,Raniery Guilherme José Vicente,
Januária,"Diagnóstico Hidroambiental das Nascentes do Riacho da Quinta, na Bacia do Médio São Francisco",Antônio Fábio Silva Santos,
Januária,Sistema de Controle de Irrigação Automatizado de Baixo Custo para Agricultura Familiar,Danilo Magalhães Nunes,
Januária,Zoneamento Agroclimático do Feijão Caupi para o Estado de Minas Gerais,Selma Alves Abrahão,
Januária,Aplicação Android para Controle de Cadeiras de Rodas Através da Visão Computacional: Uma Proposta de Acessibilidade para Pessoas com Tetraplegia,Felipe Augusto Oliveira Mota,
Januária,O Conhecimento Sobre Matemática Financeira e as Relações de Consumo dos Acadêmicos do Curso de Administração do IFNMG – Campus Januária,Raniery Guilherme José Vicente,
Januária,Pesquisa Avançada Acerca de Internet das Coisas,Felipe Augusto Oliveira Mota,
Januária,Objeto de Aprendizagem: Ensino de Funções Exponenciais e Logarítmicas Aplicadas ao Geogebra,Fábio Mendes Ramos,
Januária,"Representações do Médio São Francisco no Romance “ A Ópera dos Afogados”, do Januarense Antônio Emílio Pereira",Pedro Borges Pimenta Júnior,
Januária,"Três Retratos de Maria da Cruz, A Dona do Sertão",Pedro Borges Pimenta Júnior,
Januária,Análise da Evolução do Ensino Médio nas Escolas da Terra Indígena Xakriabá no Período de 2005 a 2018. ,Suzana Alves Escobar,
Januária,Educação Empreendedora: Estudo do Impacto em Jovens em Situação de Vulnerabilidade Social da Cidade de Januária-MG,Érica Souza Tupiná,
Januária,Aptidão Climática do Estado de Minas Gerais para Cultura da Palma Forrageira (Opuntia SP),Selma Alves Abrahão,
Januária,Zoneamento Agroclimático do Campim Elefante (Pennisetum purpureum) ,Selma Alves Abrahão,
Januária,IFNMG Online: Estudantes e a Adicção em Internet no Campus Januária,Fabio Mendes Ramos,
Januária,Desenvolvimento de um Sistema Hipermídia para Elaboração de Avaliações de Matemática,Josué Antunes de Macedo,
Januária,Carne do Porco do Cerrado Maturada por Meio de Salga úmida e Salga Seca,Wagner Aziz Garcia de Araújo,
Januária,"Manejo da Cultura do Feijão Caupi (Vigna unguiculata), no Semiárido do Norte de Minas Gerais",Claubert Wagner Guimarães de Menezes,
Januária,Limites e Possibilidades do Uso do Scratch no Ensino da Matemática,Josué Antunes de Macedo,
Januária,Utilização da Enzima B-mananase em Reações de Frangos ,Wagner Aziz Garcia de Araújo,
Januária,Validação da Plataforma de Pesagem na Pecuária de Precisão em Confinamento de Bovinos – Animais Cruzados Angus x Nelore,Rogério Mendes Murta,
Januária,Adubação Orgânica de Capim Santo ( Cymbopogon citratus ) com algodão-de-seda ( Calotropis procera),Claubert Wagner Guimarães de Menezes,
Januária,As Transformações no Mundo do Trabalho e as expectativas dos jovens estudantes sobre o ensino médio integrado à Educação Profissional no IFNMG – Campus Januária,Wanderson Pereira Araújo,
Januária,Estudo Investigativo da Psicologia da Aprendizagem Aplicada ao Ensino de Trigonometria,Gustavo Pereira Gomes,
Montes Claros,Produção de carvão ativado a partir de cascas de banana e sua avaliação em absorção de compostos fenólicos oriundos do pré-tratamento ácido de biomassa.,Ramon Geraldo Campos silva,
Montes Claros,Destilação de etanol – água em regime estacionário utilizando coluna com recheios e avaliação da adição de sal inorgânico no comportamento azeotrópico da mistura.,Ramon Geraldo Campos silva,
Montes Claros,Modelagem termodinâmica do equilíbrio – vapor das misturas etanol – água e etanol – água – sal inorgânico por meio da destilação de Rayleigh.,Ramon Geraldo Campos silva,
Montes Claros,Modelagem do processo de secagem convectiva de cascas de banana.,Ramon Geraldo Campos silva,
Montes Claros,Produção de Carvão Ativado a Partir do Resíduo de Lodo Ativado e Avaliação do Efeito de Agente Ativante,Daniel Rodrigues Magalhães,
Montes Claros,Eye Tracking como Ferramenta de Interação Homem- Máquina Aplicado à Pacientes com Deficiência Motora nos Membros Superiores,Wagner Ferreira de Barros,
Montes Claros,Desenvolvimento de Co-Simulador para redes Elétrica Inteligentes,Douglas Ângelo Teixeira,
Montes Claros,Análise da Aplicabilidade de Redes Neurais Artificiais para Identificação de Gases,Saulo Fernando dos Santos Vidal,
Montes Claros,"Concepção e Prototipagem de Um Dispositivo de Acomodação, Fixação e Posicionamento para a Radioterapia de Mama em Decúbito Ventral",Wagner Leite Araújo,
Montes Claros,IFNMG ONLINE: Estudantes a a Adicção em Internet no Campus Montes Claros,Alexandre Botelho Brito,
Montes Claros,Avaliando Consultas por Similaridade com Diversidade,Lúcio Fernandes Dutra Santos,
Montes Claros,Modelagem Computacional do Desempenho de Torre de Resfriamento,Ramon Geraldo Campos silva,
Montes Claros,Produção de Impressora 3D de Baixo Custo para o Campus Montes Claros,Luciana Balieiro Cosme,
Montes Claros,"Investigação de Ferramentas Computacionais e de Engenharia para Auxiliar Pessoas com Necessidades Especiais (PNE’S), em Membros Superiores, na Realização de Atividades de Vida Diária (ADV’S)",Luciana Balieiro Cosme,
Montes Claros,Projeto e Construção de Elementos Ópticos Usando Impressoras 3D,Marcos Aurélio Duarte Carvalho,
Montes Claros,Número Pfaffiano de Grafos,Alberto Alexandre Assis Miranda,
Montes Claros,Geração de Modelos para Descrever de Modelos para Descrever o Processo de Secagem de Arroz com Casca em Leito de Jorro,João Carlos Gonçalves,
Montes Claros,Pesquisa de Busca Heurística – Heurística de Busca para Open Shop,Tadeu Knewitz Zubaran,
Montes Claros,Pesquisa de Busca Heurística – Heurística Construtiva para Open Shop,Tadeu Knewitz Zubaran,
Montes Claros,Pesquisa de Busca Heurística – Vizinhanças para Open Shop,Tadeu Knewitz Zubaran,
Montes Claros,Avaliação da Atividade Antifúngica dos óleos Essenciais de Manjericão (Ocimum basilicum ) e do cravo-da-índia ( Syzygium aromaticum),Marcelo Moreira Freire,
Montes Claros,Produção e Análise de Condicionadores Capilares Preparados com a Adição de Diferentes óleos Vegetais,Marcelo Moreira Freire,
Montes Claros,Desenvolvimento de Procedimentos para Extração dos óleos do Fruto da Palmeira Macúba( Acronomia aculeata),Elízio Mario Ferreira,
Montes Claros,Avaliação da Acidez Total de Cachaças da Região de Itacambira-MG,Elízio Mario Ferreira,
Montes Claros,Desenvolvimento de Objetos Simuladores para Radioterapia,,
Montes Claros,Metodologias Ativas: Ensino Híbrido no Combate à Repetência em Cálculo I,Neila Marcelle Gualberto Leite,
Montes Claros,Avaliação da Eficiência do Processo Fenton no Tratamento de Lixiviado de Aterro Sanitário,Igor Talles Fonseca Figueiredo,
Montes Claros,Avaliação de Catalisadores Heterogêneos e Óleos Vegetais na Produção de Biodiesel,Talles de Assis Cardoso Gonçalves,
Montes Claros,Estudo da Influência da Temperatura e Projeto de Modelo Cinético da Reação de Saponificação do Acetato de Etila e Hidróxido de Sódio,Talles de Assis Cardoso Gonçalves,
Montes Claros,Tecnologia digital: Uso de aplicativo na aprendizagem de desenho técnico do curso técnico em edificações,Admilson Eustáquio Prates,
Montes Claros,Educação emocional no ensino médio integrado,Admilson Eustáquio Prates,
Montes Claros,"O trabalho como princípio educativo no ensino médio integrado do Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais, Campus Montes Claros",Admilson Eustáquio Prates,
Montes Claros,Avaliação da queda de pressão via análise Planejamento Fatorial 2k,João Carlos Gonçalves,
Montes Claros,Projeto eletromagnético de um acelerador de dêuterons para a terapia de captura de nêutrons,Wagner Leite Araujo,
Montes Claros,Expansão e análise do Data Mart Acadêmico do IFNMG,Lúcio Fernandes Dutra Santos,
Montes Claros,Análise do Data Mart Acadêmico do IFNMG,Lúcio Fernandes Dutra Santos,
Montes Claros,Aplicação do Geant4 para investigação e aprimoramento em unidade de irradiação para a terapia de captura de nêutrons,Wagner Leite Araujo,
Montes Claros,Instrumentação para aquisição de dados de uma planta de leito de jorro,Saulo Fernando dos Santos Vidal,
Montes Claros,Tratamento químico em fitas magnéticas (VHS),Pedro Henrique de Oliveira Gomes,
Montes Claros,Neutralização de pH de um efluente de caráter básico utilizando software livre e plataforma Arduino,Saulo Fernando dos Santos Vidal,
Montes Claros,Avaliação do potencial de adsorção de carvão ativado derivado de lodo biológico frente ao fenol presente em efluentes industriais,Daniel Rodrigues Magalhães,
Montes Claros,Estudo do processo de secagem de sementes de Brachiaria brizantha cultivar Marandu em Leito de Jorro,João Carlos Gonçalves,
Montes Claros,Uso de redes neurais para controle de nível em um sistema de tanques em série,Saulo Fernando dos Santos Vidal,
Pirapora,Produção de Tintas à Base de Argila para a Construção Civil,Marcelo de Oliveira Rosa,
Pirapora,O Impacto do Comércio Eletrônico do Consumo Piraporense,Daniel Rocha Silva,
Pirapora,Levantamento dos Principais Tipos de Patologias em Pavimentos Flexíveis e Intertravados no Município de Pirapora- MG,Fábio José Generoso,
Pirapora,A Cidade como Espaço Aprendizagem: Letramento e Emancipação Digital e Cidadã,Marcelo de Miranda Lacerda,
Pirapora,Sabedoria Popular sobre Plantas Medicinais Comercializados na Feira Livre do  Município da Pirapora,Gleysson de Paula Terra,
Porteirinha,Estudo sobre a utilização das tecnologias da informação e comunicação nas Escolas Estaduais da Zona Urbana do Município de Porteirinha/MG,Fernanda Pereira Santana,
Porteirinha,Evasão Escolar. Repetência e sucesso discente,Wilney Fernando Silva,
Porteirinha,Protótipo para Adequação dos Limites de Demanda de Energia Elétrica em Instalações Industriais,Marco Antônio Silva Pereira – Passou para Caio Venâncio Duarte Carvalho,
Porteirinha,Aplicação da Mineração de Dados no Processo de Produção do Queijo Minas Artesanal,Thiago Nogueira Tolentino,
Salinas,Utilização do Farelo de Palma na Alimentação de Vacas Leiteras,Antônio Eustáquio Filho,
Salinas,Um Modelo Biológico contra o Ataque de Pragas de Plantas do Cerrado: Nectários Extraflorais versus Herbivoria,Tatianne Gizelle Marques Silva,
Salinas,Dicionário Literário do Alto Rio Pardo (MG) – Taiobeiras,Alex Sander Luiz Campos,
Salinas,Mosquitos e Primatas – Não – Humanos como Fontes de Infecções Zoonóticas no Norte de Minas Gerais,Filipe Vieira Santos de Abreu,
Salinas,Influência dos Métodos de Secagem na Extração e Quantificação de Taninos de Hortelã Pimenta ( Mentha x Piperita L. ),Higor Alexandre Rodrigues Maia,
Salinas,Física Moderna e Contemporânea para o Ensino Médio,Luciano Adley Costa Castro,
Salinas,Avaliação de Parâmetros Agronômicos de Cinco Variedades Mandioca para Mesa na Cidade de Salinas – MG,Oscar William Barbosa Fernandes,
Salinas,Rótulos de Cachaça: Avaliação de sua Conformidade em Relação a Legislação e o Comportamento do Consumidor em Relação a essas Informações em Cachaças Comercializadas na Cidade de Salinas – MG,Higor Alexandre Maia,
Salinas,A Suplmentação Alimentar no Desempenho e Características do Mel da Apis mellifera em Salinas/ MG,Thiago Moreira dos Santos,
Salinas,Avaliação da Brotação no Regime de Talhada em Povoamento de Eucalipto,Vinícius Orlandi Barbosa Lima,
Salinas,Fatores de Risco e Agentes Etiológicos Causadores de Mastite em Propriedades Rurais Vinculadas à Cooperativa dos Produtores Rurais de Salinas (COOPERSA),Paulo Bastos Queiroz,
Salinas,Aperfeiçoamento de Técnicas para a Criopreservação do Sêmen Ovino,Júlio César Oliveira Dias,
Salinas,Avaliação da Velocidade de Hemossedimentação em Cadelas com Piometra,Eduardo Garrido,
Salinas,Inserção de Insetos na Alimentação Humana de Populações Carentes como Alternativa ao Consumo de Carne de Animais Convencionais,Felipe Cimino Duarte,
Salinas,Determinação da Atividade Antimicrobiana dos Extratos das Folhas de Morus nigra L. Chenopodium ambrosioides e Aloe vera sobre Staphylococcus aureos e Salmonella spp,Roberta Magalhães Dias Cardozo,
Salinas,Impactos do Novo Código Florestal no Regime Hidrológico de uma Bacia Hidrográfica do Semi – árido Mineiro: estudo em nível de bacia experimental,Ronaldo Medeiros dos Santos,
Salinas,Estimativa da Evapotranspiração em Áreas de Reflorestamento e Mata Seca Utilizando Imagens de Satélite,Marcelo Rossi Vicente,
Salinas,Resistência versus Suscetibilidade Anti-helmíntica em Bovinos Leiteiros Naturalmente Infectados,Vanessa Paulino da Cruz Vieira,
Salinas,Utilização do Farelo de Palma na Alimentação de Ovinos Confinados,Antônio Eustáquio Filho,
Salinas,Análise das Interações Ecológicas de Calliandra asplenioides (NEES) Renvoize com base nas Estruturas Florais,Michelia Pereira Soares,
Salinas,Monitoramento de Genotoxidade e Análise Toxicológica de Organoclorados em Tilápia do Nilo (Oreochromis niloticus),Thaís Larissa Lourenço Castanheira,
Salinas,A Modelagem Matemática via Método dos Mínimos Quadrados na Otimização dos Fatores na Síntese de Biodíesel,Agnaldo Monteiro Farias,
Salinas,O Turismo Impacta a Flora e Fauna de Invertebrados de Solo em Ambientes Cavernícolas?,Tatianne Gizelle Marques Silva,
Salinas,Efeitos da Aplicação de Luz Ultravioleta (UV)no Controle Microbiológico de Polpa de Fruta Natural,Jean Pereira Coutinho,
Salinas,Interferência de Fatores Exógenos Durante a Inseminação Artificial. Com a taxa de prenhes,Susi Cristina dos Santos Guimarães Martins,
Salinas,Otimização no Processo de Extração de Cafeína do Guaraná (Paullinia culpana) utilizando a água como solvente,Alexandre Santos de Souza,
Salinas,Elaboração do Planejamento Fatorial para a Otimização das Condições da Reação de Obtenção de Biodísel via Catálise Heterogênea,Roberto Ananias Ribeiro,
Salinas,"Atividades Experimentais de Física de Fácil Montagem, Bom Manuseioe Baixo Custo como Recurso Pedagógico no Ensino Médio da Escola Estadual Professor Levindo Lambert em Salinas – MG",Vailton Afonso da Silva,
Salinas,Caracterização do Cariótipo de Gaunandi ( Calophyllum brasiliense Cambess),Guilherme Mendes de Almeida Carvalho,
Salinas,A Utilização do Youtube como Ferramenta para a Capacitação Docente,Ana Clara Gonçalves Alves de Meira,
Salinas,Atividade Antimicrobiana do óleo Essencial de Cravo-da índia,Isis Celena Amaral,
Salinas,Indução da Organogênese a Partir de Segmentos de Epicótilo de Handroanthus impetiginosus (Mart. Ex DC) Mattos,Rogério Alves de Amorim,
Salinas,Análise de Variânia em um Experimento de Síntese de Biodiesel Conduzido em Planejamento Fatorial,Leonardo Martins do Nascimento,
Salinas,"Zoneamento Edafloclimático para Implantação de Espécies Florestais, em sistema ILPE, na Micrirregião do Alto Rio Pardo/MG",Antônio Carlos Pinheiro Cani,
Salinas,Biochar na Composição de Substratos para Produção de Mudas de Caesalpinia pelthophoroides Benth,Jane Bruna de Almeida,
Salinas,Avaliação do perfil Microbiológico do Sangue de Cadelas com Piometra,Eduardo Garrido,
Salinas,"Análise Microbiológica da Água em Três Pontos Extratégicos no Instituto Federal de  Educação, Ciência  Tecnologia do Norte de Minas Gerais – Campus Salinas",Rosimeire Alves Guimarães,
Salinas,"Produção de óleos Essenciais de Frutas Cítricas (laranja Pera – Citrus sinensis L. Osbeck, limão Taiti – Citrus latifolia e tangerina Pokan – Cítrus reticulata) como uma alternativa de utilização de resíduos agroindustriais para saborizar  e aromatizar alimentos: um panorama sensorial",Daniela Caetano,
Salinas,Agregando Valor ao Abacaxi da Região de Berilo -MG Através da Produção de Licor Artesanal,Daniela Caetano,
Salinas,IFNMG ONLINE: Estudantes e a Adicção em Internet no Campus Salinas,Aldemi Ferreira Mendes,
Salinas,Construção e Manuseio de um Protótipo de Mini-usina para Produção de Biogás e Biofertilizantes,Magnovaldo Carvalho Lopes,
Salinas,Análise das Propriedades físico-químicas da água de abastecimento público e de águas coletadas próximas ao perímetro urbano do município de Salinas MG,Magnovaldo Carvalho Lopes,
Salinas,Avaliação do Efeito Antifúngico do óleo Essencial de Pequi ( Caryocar brasieliense),Michelle Ferreira Terra Ematne,
Salinas,Iogurte Grego Sabor Umbu: Uso de Frutos Regionais na Inserção de Novos Sabores,Daniela Caetano,
Salinas,Origem dos Campos de Murundus no Norte de Minas Gerais,Elcio José do Nascimento,
Salinas,Melhoria da Qualidade da Sensorial da Cachaça Através do Beneficiamento da Matéria Prima,Daniela Caetano,
Salinas,O Uso de Materiais Didáticos Manipuláveis como Ferramenta no Processo de Ensino- Aprendizagem da Geometria Espacial,Eilson Santiago,
Salinas,O Ensino da Trigonometria Usando o Ciclo Trigonométrico Manipulável como Ferramenta no Processo de Ensino – Aprendizagem,Eilson Santiago,
Salinas,O Uso de Vídeo Aulas Como Recurso Didático no Ensino Matemática,Eilson Santiago,
Salinas,Análise da Qualidade do Leite Produzido no Laticínio do IFNMG- Campus Salinas – MG,Thiago Moreira dos Santos,
Salinas,Quem não Toma Cachaça Bebe Leite? Quebrando Paradigmas Avaliação Físico-Químico e Sensorial de Licor de Leite,Daniela Caetano,
Salinas,Análise da Qualidade de Ovos Comercializados no Mercado Central da Cidade de Salinas – Minas Gerais,Thiago Moreira dos Santos,
Salinas,Influência do Sistema de Criação e Manejo na Ocorrência de Estereotipias em Equinos da Região do Cerrado Mineiro,Paulo José Bastos Queiroz,
Salinas,"Melhoria da Qualidade da Cachaça, Através do Beneficiamento da Matéria Prima",Felipe Cimino Duarte,
Salinas,Avaliação quali-quantitativa da Arborização Urbana do IFNMG – Campus Salinas,Thais Ribeiro Costa,
Salinas,Sistema de Suporte para Controle de Pacientes na Enfermaria Escolar,Leonardo Humberto Guimarães Silva,
Salinas,"Estudo da Remoção de Contaminantes Emergentes Diclofenaco, Ibuprofeno e Paracetamol por Adsorção em  Pequi",Luiz Fernando Oliveira Maia,
Salinas,Análise dos Caramujos Encontrados no Rio Salinas e Identificação da Possível Contaminação pelo Parasita,Felipe Vieira Santos de Abreu,
Salinas,Preparação de Hidróxidos Duplos Lamelares ZN/AL (III): Aplicação na Adsorção de Cromo Hexavelente,Luiz Fernando Oliveira Maia,
Salinas,Perfil Sensorial da Aceitação de Caipirinha Elaborada a Partir de Xarope Concentrado de Limão,Alexandre Santos de Souza,
Salinas,Panorama da Aceitação Sensorial de Bebida Alcoolica Mista à Base de Doce de Leite,Alexandre Santos de Souza,
Salinas,Perfil Sensorial de Queijo Minas Padrão Maturato Revestido com Cera de Abelha,Alexandre Santos de Souza,
Teófilo Otoni,Os benefícios da estratégia do debate em sala de aula e sua colaboração na avaliação formal: estudo de caso no Ensino Médio Técnico Integrado do IFNMG/Campus Teófilo Otoni.,Maria Terezinha Pereira Pestana,
Teófilo Otoni,“IFNMG OH LINE”: Estudantes e a adiccção em internet no Campus Teófilo Otoni,Luara Cristiane Dourado Neves,
Teófilo Otoni,Mapeamento e estrutura cultural do Norte de Minas Gerais: Uma proposta baseada na Web semântica.,Yuri Bento Marques,
Teófilo Otoni,"Impactos da erosão hídrica, perda de solo e água no Instituto Federal do Norte de Minas Gerais- Campus Teófilo Otoni.",Ivan Carlos Carreiro Almeida,
Teófilo Otoni,Empreendedores versus inventores: Testagem de modelos preditivos do comportamento empresarial.,Gustavo Henrique Silva de Souza,
Teófilo Otoni,"Influência do Uso do Solo e da Topografia na Perda de Água e Solo em um Latossolo Vermelho-amarelo Distrófico Típico em Teófilo Otoni, Minas Gerais.",Ivan Carlos Carreiro Almeida,
Teófilo Otoni,Instrumentação Padronizada na Administração de Marketing: O Desenvolvimento de um Sistema Gerencial de Pesquisas de Mercado,Ana Cláudia Gonçalves  de Sá Jardim,
